id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
62427,60391,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62428,60391,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62429,60392,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:27,,,,,
62430,60392,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:27,,,,,
62431,60392,30015,opcional,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:27,,,,,
62432,60392,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:27,,,,,
62433,60392,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:27,,,,,
62434,60392,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:18,2026-03-05 20:45:18,,,,,
62435,60392,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
62436,60392,30022,obrigatoria,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:26,,,,,
62437,60392,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
62438,60393,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:28,,,,,
62440,60393,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
62442,60393,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
